"Toon_idx";"Toon_name";"Toon_category";"Toon_link";"Toon_update";"Toon_newupdate";"Toon_exist";"Toon_imagelink";"Toon_platform";"Toon_likes"
1024;"무책임 공주는 힘들어!";"#판타지#코미디/일상";"https://www.lezhin.com/ko/comic/irresponsible_princess";0;1;1;"https://ccdn.lezhin.com/v2/comics/4686578887491584/images/wide.webp?updated=1691046430274&width=554 2x";2;0
1025;"음지탐구보고서";"#판타지#코미디/일상";"https://www.lezhin.com/ko/comic/shady_research_report";0;1;1;"https://ccdn.lezhin.com/v2/comics/5596969058500608/images/wide.webp?updated=1674890816228&width=554 2x";2;0
1026;"자존감 없는 소선화양";"#로맨스#드라마#학원#코미디/일상";"https://www.lezhin.com/ko/comic/sosunhwa";0;1;1;"https://ccdn.lezhin.com/v2/comics/4719049832202240/images/wide.webp?updated=1693388120410&width=554 2x";2;0
1027;"선화의 그늘가";"#로맨스#드라마#학원";"https://www.lezhin.com/ko/comic/narcissus";0;1;1;"https://ccdn.lezhin.com/v2/comics/6174950587957248/images/wide.webp?updated=1678098922376&width=554 2x";2;0
1028;"부랄친구";"#로맨스#학원#코미디/일상";"https://www.lezhin.com/ko/comic/bff";0;0;1;"https://ccdn.lezhin.com/v2/comics/5474379383439360/images/wide.webp?updated=1688124008196&width=554 2x";2;0
1029;"투 마이 위시";"#로맨스#학원";"https://www.lezhin.com/ko/comic/to_my_wish";0;1;1;"https://ccdn.lezhin.com/v2/comics/6477028835262464/images/wide.webp?updated=1695118500319&width=554 2x";2;0
1030;"아버지의 집밥";"#드라마#코미디/일상";"https://www.lezhin.com/ko/comic/cooksilver";0;0;1;"https://ccdn.lezhin.com/v2/comics/6049192073035776/images/wide.webp?updated=1660274236813&width=554 2x";2;0
1031;"정의오락실";"#로맨스#코미디/일상";"https://www.lezhin.com/ko/comic/arcade_justice";0;1;1;"https://ccdn.lezhin.com/v2/comics/5595256958287872/images/wide.webp?updated=1693278216692&width=554 2x";2;0
1032;"바퀴멘터리";"#코미디/일상";"https://www.lezhin.com/ko/comic/baquimentary";0;0;1;"https://ccdn.lezhin.com/v2/comics/6185833387393024/images/wide.webp?updated=1660274231631&width=554 2x";2;0
1033;"마법사와 춤을";"#액션#판타지#코미디/일상";"https://www.lezhin.com/ko/comic/dance_with_wizard";0;1;1;"https://ccdn.lezhin.com/v2/comics/6005406548426752/images/wide.webp?updated=1670825508366&width=554 2x";2;0
1034;"이토록 다채로운 핏빛";"#판타지#드라마";"https://www.lezhin.com/ko/comic/colorful";0;1;1;"https://ccdn.lezhin.com/v2/comics/4705963879235584/images/wide.webp?updated=1679200407673&width=554 2x";2;0
1035;"영원의 집";"#로맨스#드라마#학원";"https://www.lezhin.com/ko/comic/neverend_house";0;1;1;"https://ccdn.lezhin.com/v2/comics/6251457277657088/images/wide.webp?updated=1698745423720&width=554 2x";2;0
1036;"citrus 시트러스";"#로맨스#드라마#학원";"https://www.lezhin.com/ko/comic/citrus";0;0;1;"https://ccdn.lezhin.com/v2/comics/4520115655147520/images/wide.webp?updated=1699239214600&width=554 2x";2;0
1037;"안나 이야기";"#로맨스#드라마";"https://www.lezhin.com/ko/comic/story_of_anna";0;1;1;"https://ccdn.lezhin.com/v2/comics/4907714540535808/images/wide.webp?updated=1680685716738&width=554 2x";2;0
1038;"할배툰";"#코미디/일상";"https://www.lezhin.com/ko/comic/ggftoon";0;0;1;"https://ccdn.lezhin.com/v2/comics/4524665480740864/images/wide.webp?updated=1692770273125&width=554 2x";2;0
1039;"방구석 외톨이";"#드라마#코미디/일상";"https://www.lezhin.com/ko/comic/bangkok";0;1;1;"https://ccdn.lezhin.com/v2/comics/6731384128077824/images/wide.webp?updated=1684651615908&width=554 2x";2;0
1040;"첫걸음을 내딛는 방법";"#로맨스#학원";"https://www.lezhin.com/ko/comic/first_step";0;0;1;"https://ccdn.lezhin.com/v2/comics/4669144063868928/images/wide.webp?updated=1655362194795&width=554 2x";2;0
1041;"킬링 미";"#로맨스";"https://www.lezhin.com/ko/comic/killing_me";0;0;1;"https://ccdn.lezhin.com/v2/comics/6028849040392192/images/wide.webp?updated=1665994325816&width=554 2x";2;0
