"toon_num";"N_toon";"Toon_category";"Toon_link";"Toon_platform";"Toon_likes";"Toon_update";"Toon_imagelink";"Toon_newupdate";"Toon_Hit_toon"
391;"죽지 않으려면";" #액션/#환골탈태/#블루스트링/#사이다/#학원물/#복수극/";"https://comic.naver.com/webtoon/list?titleId=772764&tab=fri";1;0;0;"https://image-comic.pstatic.net/webtoon/772764/thumbnail/thumbnail_IMAG21_be1cd9e7-17da-449a-bc04-1294015fdbd5.jpg";0;0
392;"세기말 풋사과 보습학원";" #로맨스/#러블리/#소꿉친구/#하이틴/#학원로맨스/#친구>연인/#성장드라마///";"https://comic.naver.com/webtoon/list?titleId=761722&tab=fri";1;0;0;"https://image-comic.pstatic.net/webtoon/761722/thumbnail/thumbnail_IMAG21_8ad71820-0c48-418a-89e9-5c001e393f54.jpg";0;0
393;"천하제일 대사형";" #무협/사극/#환골탈태/#소설원작/";"https://comic.naver.com/webtoon/list?titleId=802278&tab=fri";1;0;0;"https://image-comic.pstatic.net/webtoon/802278/thumbnail/thumbnail_IMAG21_311b8a63-cb77-4198-b015-95ef835007ac.jpg";0;0
394;"사신";" #무협/사극/#성장물/#세계관/#소년왕도물/#소설원작/";"https://comic.naver.com/webtoon/list?titleId=799837&tab=fri";1;0;0;"https://image-comic.pstatic.net/webtoon/799837/thumbnail/thumbnail_IMAG21_361ed944-3c87-481f-a3d9-0e02c12b027d.jpg";0;0
395;"2023 루키 단편선";" #드라마/#힐링/#회귀/#현실로맨스/#학원로맨스/#성장드라마/#감성드라마/";"https://comic.naver.com/webtoon/list?titleId=816636&tab=fri";1;0;1;"https://image-comic.pstatic.net/webtoon/816636/thumbnail/thumbnail_IMAG21_0aaf3571-5f8a-4b86-a086-b038a27e3aed.jpg";1;0
396;"A.I. 닥터";" #드라마/#직업드라마/#사이다/#의학드라마/#소설원작/";"https://comic.naver.com/webtoon/list?titleId=765804&tab=fri";1;0;0;"https://image-comic.pstatic.net/webtoon/765804/thumbnail/thumbnail_IMAG21_7003208699811542067.jpg";0;0
397;"열렙전사 3부";" #액션/";"https://comic.naver.com/webtoon/list?titleId=817032&tab=fri";1;0;0;"https://image-comic.pstatic.net/webtoon/817032/thumbnail/thumbnail_IMAG21_75d7192e-5de2-46ae-bd94-749477fbabe6.jpg";1;0
398;"전남편의 미친개를 길들였다";" #로맨스/#소설원작/";"https://comic.naver.com/webtoon/list?titleId=804160&tab=fri";1;0;0;"https://image-comic.pstatic.net/webtoon/804160/thumbnail/thumbnail_IMAG21_335a77d2-bbcd-4766-83f6-8d90120e9379.jpg";0;0
399;"나혼자 탑에서 농사";" #판타지/#지금추천작/#무해한/#햇살캐/#힐링/#차원이동/#동물/#소설원작/";"https://comic.naver.com/webtoon/list?titleId=808389&tab=fri";1;0;0;"https://image-comic.pstatic.net/webtoon/808389/thumbnail/thumbnail_IMAG21_4a5ab33b-e6fe-4fbe-95b7-bd7fa6a9c156.jpg";0;0
400;"삼국지톡";" #무협/사극/";"https://comic.naver.com/webtoon/list?titleId=711422&tab=fri";1;0;0;"https://image-comic.pstatic.net/webtoon/711422/thumbnail/thumbnail_IMAG21_fd8cb5db-01ab-4c7b-a2a9-920d4479d5f7.jpg";0;0
401;"약탈 신부";" #로맨스/#혐관로맨스/#인외존재/#구원서사/#소설원작/";"https://comic.naver.com/webtoon/list?titleId=804329&tab=fri";1;0;0;"https://image-comic.pstatic.net/webtoon/804329/thumbnail/thumbnail_IMAG21_d09239e1-4e22-46a7-83df-b7094eceb403.jpg";0;0
402;"펜홀더";" #스포츠/#성장물/#성장드라마/#스포츠성장/";"https://comic.naver.com/webtoon/list?titleId=814587&tab=fri";1;0;0;"https://image-comic.pstatic.net/webtoon/814587/thumbnail/thumbnail_IMAG21_40ab2ca2-1b9a-41b5-9577-2dec3d4d6ef7.jpg";1;0
403;"서울역 드루이드";" #판타지/#헌터물/#먼치킨/#소설원작/";"https://comic.naver.com/webtoon/list?titleId=773476&tab=fri";1;0;0;"https://image-comic.pstatic.net/webtoon/773476/thumbnail/thumbnail_IMAG21_60f66caa-8332-4333-b510-147854a2e496.jpg";0;0
404;"말년용사";" #판타지/#2020 지상최대공모전/#4차원/#밀리터리/#회귀/";"https://comic.naver.com/webtoon/list?titleId=773916&tab=fri";1;0;0;"https://image-comic.pstatic.net/webtoon/773916/thumbnail/thumbnail_IMAG21_7a5dbee0-0997-41f9-99b3-bb062e18fb64.jpg";0;0
405;"커플브레이커";" #로맨스/#2030연애/#계약연애/#현실로맨스/#걸크러시/";"https://comic.naver.com/webtoon/list?titleId=804832&tab=fri";1;0;0;"https://image-comic.pstatic.net/webtoon/804832/thumbnail/thumbnail_IMAG21_6edbde13-770a-495c-98d8-5d1d46fcc045.jpeg";0;0
406;"연애의 기록";" #드라마/";"https://comic.naver.com/webtoon/list?titleId=803792&tab=fri";1;0;0;"https://image-comic.pstatic.net/webtoon/803792/thumbnail/thumbnail_IMAG21_ceb2e7d1-abc4-4351-823d-c410ffb1d379.jpg";0;0
407;"그렇고 그런 바람에";" #로맨스/#햇살캐/#러블리/#로맨스코미디/#캠퍼스로맨스/#인플루언서/#걸크러시/";"https://comic.naver.com/webtoon/list?titleId=783527&tab=fri";1;0;0;"https://image-comic.pstatic.net/webtoon/783527/thumbnail/thumbnail_IMAG21_e43d251c-2624-4f7d-871f-3c829ba25efa.jpg";0;0
408;"흑요석의 신부";" #로맨스/#요즘핫한추천작/#로판/";"https://comic.naver.com/webtoon/list?titleId=814310&tab=fri";1;0;0;"https://image-comic.pstatic.net/webtoon/814310/thumbnail/thumbnail_IMAG21_fcc13386-dc54-4e27-a91b-c64bf0616003.jpg";0;0
409;"문제적 왕자님";" #로맨스/#로맨스코미디/#로판/#소설원작/";"https://comic.naver.com/webtoon/list?titleId=800046&tab=fri";1;0;0;"https://image-comic.pstatic.net/webtoon/800046/thumbnail/thumbnail_IMAG21_1b3a9842-439f-43a3-8b2f-90fc1b1ee356.jpg";0;0
410;"히어로 킬러";" #액션/#히어로/";"https://comic.naver.com/webtoon/list?titleId=766563&tab=fri";1;0;0;"https://image-comic.pstatic.net/webtoon/766563/thumbnail/thumbnail_IMAG21_b71167a5-4409-411e-96e8-f2dad9ddbe00.jpg";0;0
411;"여우놀이";" #드라마/#아이돌/#폭스남/#2020 지상최대공모전/#하이틴/#학원로맨스/";"https://comic.naver.com/webtoon/list?titleId=768469&tab=fri";1;0;0;"https://image-comic.pstatic.net/webtoon/768469/thumbnail/thumbnail_IMAG21_bff0c189-27cb-4859-8866-5f548210a578.jpg";0;0
412;"폭군님은 착하게 살고 싶어";" #로맨스/";"https://comic.naver.com/webtoon/list?titleId=801736&tab=fri";1;0;0;"https://image-comic.pstatic.net/webtoon/801736/thumbnail/thumbnail_IMAG21_4cef0649-b3cf-4a27-8eda-afb93d6f6bf4.jpg";0;0
413;"더 게이머";" #판타지/#게임판타지/#먼치킨/";"https://comic.naver.com/webtoon/list?titleId=552960&tab=fri";1;0;0;"https://image-comic.pstatic.net/webtoon/552960/thumbnail/thumbnail_IMAG21_ce8f3dbb-3891-4e83-9782-64fa7986946e.jpg";0;0
414;"브레이커 : 이터널 포스";" #액션/#환골탈태/#세계관/#사이다/#소년왕도물/#느와르/";"https://comic.naver.com/webtoon/list?titleId=794383&tab=fri";1;0;0;"https://image-comic.pstatic.net/webtoon/794383/thumbnail/thumbnail_IMAG21_21ee5311-021a-405a-bc57-eea051c54552.jpg";0;0
415;"그거 사랑 아니야";" #로맨스/#2030연애/#현실로맨스/#오피스로맨스/";"https://comic.naver.com/webtoon/list?titleId=814289&tab=fri";1;0;0;"https://image-comic.pstatic.net/webtoon/814289/thumbnail/thumbnail_IMAG21_9ea6aae5-1236-4ff9-9a36-d4bb1eb5f210.jpg";1;0
416;"희란국연가";" #로맨스/#후회물/#혐관로맨스/#동양풍판타지/#이세계/#인외존재/#삼각관계///";"https://comic.naver.com/webtoon/list?titleId=783539&tab=fri";1;0;0;"https://image-comic.pstatic.net/webtoon/783539/thumbnail/thumbnail_IMAG21_933f1e25-848e-480b-baf2-8808a8c9ee30.jpg";0;0
417;"그 기사가 레이디로 사는 법";" #판타지/#혐관로맨스/#삼각관계/#빙의/#로판/#소설원작/";"https://comic.naver.com/webtoon/list?titleId=758675&tab=fri";1;0;0;"https://image-comic.pstatic.net/webtoon/758675/thumbnail/thumbnail_IMAG21_b5ba4df8-fff7-47a0-86f0-2960a054e03e.jpg";0;0
418;"오늘은 나랑 만나";" #로맨스/";"https://comic.naver.com/webtoon/list?titleId=817081&tab=fri";1;0;1;"https://image-comic.pstatic.net/webtoon/event/thumbnail/33/817081_20230926185518.jpg";1;0
419;"플레이어";" #액션/#게임판타지/#이능력배틀물/";"https://comic.naver.com/webtoon/list?titleId=745876&tab=fri";1;0;0;"https://image-comic.pstatic.net/webtoon/745876/thumbnail/thumbnail_IMAG21_ad75ad2a-a372-4f6c-873c-41ddd2e11f79.jpg";1;0
420;"도깨비의 밤";" #액션/";"https://comic.naver.com/webtoon/list?titleId=813641&tab=fri";1;0;0;"https://image-comic.pstatic.net/webtoon/813641/thumbnail/thumbnail_IMAG21_a53a4e1b-3395-44da-b9dc-6fe08c98bee5.jpg";0;0
421;"소름일기";" #스릴러/#오컬트/#괴담/";"https://comic.naver.com/webtoon/list?titleId=800585&tab=fri";1;0;0;"https://image-comic.pstatic.net/webtoon/800585/thumbnail/thumbnail_IMAG21_11721c44-7e70-45e2-bd2e-da1e4a51922b.jpg";0;0
422;"대위님! 이번 전쟁터는 이곳인가요?";" #로맨스/#차원이동/#밀리터리/#빙의/#로판/#걸크러시/#소설원작/";"https://comic.naver.com/webtoon/list?titleId=803767&tab=fri";1;0;0;"https://image-comic.pstatic.net/webtoon/803767/thumbnail/thumbnail_IMAG21_63c2a7a4-ca93-4ab4-8224-769b3dfa692b.jpg";0;0
423;"언다잉";" #스릴러/";"https://comic.naver.com/webtoon/list?titleId=801555&tab=fri";1;0;0;"https://image-comic.pstatic.net/webtoon/801555/thumbnail/thumbnail_IMAG21_e90dca57-f705-4a4e-8848-752d809b4b8b.jpg";0;0
424;"온리호프";" #로맨스/#타임슬립/#고자극로맨스/#회귀/";"https://comic.naver.com/webtoon/list?titleId=800796&tab=fri";1;0;0;"https://image-comic.pstatic.net/webtoon/800796/thumbnail/thumbnail_IMAG21_e5f6d283-25ac-4c32-be9a-b883c1ba7b87.jpg";0;0
425;"바스티안";" #로맨스/#2030연애/#혐관로맨스/#선결혼후연애/#로판/#소설원작/";"https://comic.naver.com/webtoon/list?titleId=805203&tab=fri";1;0;0;"https://image-comic.pstatic.net/webtoon/805203/thumbnail/thumbnail_IMAG21_7c73fc44-700b-4bf4-a1a2-7d3e781638a8.jpg";0;0
426;"개를 낳았다";" #드라마/#무해한/#동물/#감성드라마/";"https://comic.naver.com/webtoon/list?titleId=712362&tab=fri";1;0;0;"https://image-comic.pstatic.net/webtoon/712362/thumbnail/thumbnail_IMAG21_7220173143199539507.jpg";0;0
427;"평화식당";" #판타지/#먼치킨/";"https://comic.naver.com/webtoon/list?titleId=807829&tab=fri";1;0;0;"https://image-comic.pstatic.net/webtoon/807829/thumbnail/thumbnail_IMAG21_7a731990-1b33-4d79-8c00-e8fe03460618.jpg";0;0
